id,familia,ticker,latencia_s,coste_usd,llamadas,cita,cifra,trayectoria,recall,error
gjhh-001,extractiva,NVDA,30.38118300000042,0.008206499999999999,1,True,,True,1.0,
gjhh-002,extractiva,MSFT,14.384527834000437,0.008414250000000002,1,True,,True,1.0,
gjhh-003,extractiva,AAPL,32.119248250000055,0.0207951,4,True,,True,1.0,
gjhh-004,extractiva,GOOGL,16.277321708999807,0.0,2,True,,True,1.0,
gjhh-005,extractiva,META,13.842862917000275,0.00737325,1,True,,True,1.0,
gjhh-006,extractiva,AMZN,14.545429124999828,0.00809925,2,True,,True,1.0,
gjhh-007,numerica,NVDA,11.318956916999923,0.003678,2,,True,True,,
gjhh-008,numerica,MSFT,19.779733375000433,0.00411975,2,,True,True,,
gjhh-009,numerica,AAPL,10.100837959000273,0.00375525,2,,True,True,,
gjhh-010,numerica,GOOGL,9.31905870799983,0.0038302500000000003,2,,True,True,,
gjhh-011,numerica,META,10.702114458999858,0.0038640000000000002,2,,True,True,,
gjhh-012,numerica,AMZN,22.790415165999548,0.01038375,4,,True,True,,
gjhh-013,comparativa,NVDA,18.487476125000285,0.00907275,4,False,True,True,1.0,
gjhh-014,comparativa,MSFT,20.04251391700018,0.009222,4,True,True,True,1.0,
gjhh-015,comparativa,AAPL,18.14409379100016,0.01042425,4,False,True,True,0.0,
gjhh-016,comparativa,GOOGL,10.123321457999737,0.00448575,3,False,True,False,0.0,
gjhh-017,comparativa,META,10.076360000000022,0.0043844999999999995,3,False,True,False,0.0,
gjhh-018,comparativa,AAPL,39.44249454199962,0.02004225,6,False,False,True,0.0,El agente terminó sin una respuesta estructurada.
gjhh-019,comparativa,GOOGL,33.80059325000002,0.01090125,4,False,True,True,1.0,
gjhh-020,comparativa,AMZN,15.6868692500002,0.00510225,3,False,False,False,0.0,
