id,familia,ticker,latencia_s,coste_usd,llamadas,cita,cifra,trayectoria,recall,error
gjhh-001,extractiva,NVDA,32.95683200000008,0.0014021200000000002,2,True,,True,1.0,
gjhh-002,extractiva,MSFT,8.364344000000074,0.00110404,2,True,,True,1.0,
gjhh-003,extractiva,AAPL,6.981257500000083,0.0011842799999999998,2,True,,True,0.0,
gjhh-004,extractiva,GOOGL,8.258085790999985,0.001131408,2,True,,True,1.0,
gjhh-005,extractiva,META,33.26725212500015,0.0019144000000000001,2,True,,True,1.0,
gjhh-006,extractiva,AMZN,65.72320975000002,0.003206464,5,True,,True,1.0,
gjhh-007,numerica,NVDA,28.062347541999994,0.00030845600000000003,2,,True,True,,
gjhh-008,numerica,MSFT,5.619348917000025,0.000421368,2,,True,True,,
gjhh-009,numerica,AAPL,7.778423999999859,0.000312216,2,,True,True,,
gjhh-010,numerica,GOOGL,8.39600408399997,0.000336616,2,,True,True,,
gjhh-011,numerica,META,8.095402375000049,0.000272456,1,,True,True,,
gjhh-012,numerica,AMZN,23.027426125000147,0.002250616,4,,True,True,,
gjhh-013,comparativa,NVDA,30.024557500000356,0.00113976,4,True,True,True,1.0,
gjhh-014,comparativa,MSFT,19.83522691600001,0.00100464,3,True,True,True,1.0,
gjhh-015,comparativa,AAPL,14.949249042000247,0.001842696,5,True,True,True,1.0,
gjhh-016,comparativa,GOOGL,29.174817375000202,0.002066424,4,True,True,True,1.0,
gjhh-017,comparativa,META,45.760544583999945,0.0034228160000000004,5,True,True,True,1.0,
gjhh-018,comparativa,AAPL,25.590440791999754,0.001922896,5,True,True,True,1.0,
gjhh-019,comparativa,GOOGL,11.882370416000413,0.001210656,4,True,True,True,1.0,
gjhh-020,comparativa,AMZN,104.42997162499977,0.0010740559999999999,4,True,True,True,1.0,
